Count;CPU;GPU
1;0.00045490264892578125;0.006487607955932617
3449;0.036519527435302734;0.14464497566223145
6897;0.07842230796813965;0.27869510650634766
10345;0.1267859935760498;0.8026633262634277
13793;0.13237786293029785;1.0579686164855957
17242;0.17143988609313965;1.3160696029663086
20690;0.250368595123291;2.3689732551574707
24138;0.2604258060455322;2.759946346282959
27586;0.2924351692199707;3.120529890060425
31035;0.3650228977203369;4.696948051452637
34483;0.393709659576416;5.309065580368042
37931;0.4992098808288574;7.129964828491211
41379;0.5226738452911377;7.848335027694702
44828;0.5508520603179932;8.576361417770386
48276;0.6494169235229492;11.03331732749939
51724;0.7077269554138184;11.81348466873169
55172;0.799940824508667;12.700473070144653
58621;0.8610668182373047;15.661345720291138
62069;0.8460631370544434;16.69813346862793
65517;0.8510439395904541;20.241337299346924
68965;0.8581244945526123;21.370545864105225
72414;0.9781649112701416;22.738852977752686
75862;0.9776296615600586;26.895950317382812
79310;0.9747893810272217;27.661584615707397
82758;1.0219225883483887;29.891810417175293
86207;1.0962269306182861;35.474905490875244
89655;1.1226799488067627;37.48920273780823
93103;1.1950197219848633;40.160107374191284
96551;1.2204711437225342;44.15454125404358
100000;1.4507062435150146;46.88625121116638
